iter	Passed	Remaining
0	3	348
1	5	267
2	7	242
3	9	217
4	11	210
5	12	197
6	14	190
7	16	186
8	18	184
9	19	179
10	21	175
11	23	172
12	25	170
13	27	167
14	28	164
15	30	161
16	32	160
17	34	158
18	36	155
19	37	151
20	39	149
21	40	145
22	42	141
23	43	137
24	44	133
25	46	131
26	47	127
27	48	124
28	50	122
29	51	119
30	52	117
31	54	115
32	55	113
33	56	110
34	58	108
35	59	105
36	60	103
37	61	100
38	63	98
39	64	96
40	65	94
41	66	91
42	67	89
43	68	87
44	70	85
45	71	84
46	72	81
47	73	79
48	74	77
49	76	76
50	77	74
51	78	72
52	80	70
53	81	69
54	81	67
55	83	65
56	84	63
57	85	62
58	87	60
59	88	58
60	89	57
61	90	55
62	92	54
63	93	52
64	94	50
65	95	49
66	97	47
67	98	46
68	99	44
69	100	43
70	102	41
71	103	40
72	104	38
73	105	37
74	107	35
75	108	34
76	109	32
77	113	31
78	115	30
79	116	29
80	117	27
81	118	26
82	119	24
83	121	23
84	122	21
85	124	20
86	125	18
87	126	17
88	128	15
89	129	14
90	131	12
91	132	11
92	133	10
93	134	8
94	135	7
95	137	5
96	138	4
97	139	2
98	140	1
99	141	0
