iter	Passed	Remaining
0	157	156899
1	167	83803
2	178	59318
3	187	46630
4	196	39108
5	206	34190
6	222	31541
7	232	28862
8	243	26782
9	254	25188
10	264	23759
11	275	22696
12	284	21612
13	294	20760
14	304	19994
15	314	19347
16	323	18681
17	332	18117
18	342	17662
19	353	17332
20	362	16914
21	373	16605
22	384	16318
23	395	16064
24	404	15772
25	413	15486
26	423	15267
27	433	15062
28	443	14836
29	452	14632
30	460	14407
31	468	14184
32	479	14051
33	491	13969
34	500	13802
35	510	13678
36	519	13519
37	529	13414
38	540	13312
39	549	13187
40	558	13063
41	567	12948
42	576	12828
43	585	12723
44	595	12644
45	612	12703
46	625	12673
47	635	12612
48	657	12763
49	670	12743
50	685	12746
51	699	12753
52	713	12752
53	724	12694
54	738	12686
55	749	12639
56	760	12576
57	772	12542
58	781	12471
59	791	12402
60	803	12362
61	813	12312
62	827	12302
63	837	12247
64	848	12210
65	864	12229
66	876	12206
67	888	12180
68	901	12157
69	916	12173
70	927	12139
71	938	12099
72	948	12040
73	957	11981
74	967	11927
75	976	11874
76	987	11831
77	998	11797
78	1008	11762
79	1020	11736
80	1031	11703
81	1040	11646
82	1049	11598
83	1066	11635
84	1076	11589
85	1092	11609
86	1104	11589
87	1116	11575
88	1135	11623
89	1146	11591
90	1163	11617
91	1174	11594
92	1184	11552
93	1197	11543
94	1211	11545
95	1224	11533
96	1236	11507
97	1246	11473
98	1256	11439
99	1270	11434
100	1283	11425
101	1295	11409
102	1307	11384
103	1322	11396
104	1332	11362
105	1344	11338
106	1355	11313
107	1364	11266
108	1372	11222
109	1385	11210
110	1398	11199
111	1409	11177
112	1420	11146
113	1431	11127
114	1442	11104
115	1454	11087
116	1463	11044
117	1472	11007
118	1480	10963
119	1491	10938
120	1502	10918
121	1512	10882
122	1527	10891
123	1547	10932
124	1560	10925
125	1579	10953
126	1586	10905
127	1597	10886
128	1608	10862
129	1617	10826
130	1629	10809
131	1639	10782
132	1650	10762
133	1663	10750
134	1675	10734
135	1686	10716
136	1699	10703
137	1711	10690
138	1721	10664
139	1732	10641
140	1743	10623
141	1751	10581
142	1763	10566
143	1784	10610
144	1796	10594
145	1807	10574
146	1818	10551
147	1827	10518
148	1839	10508
149	1854	10506
150	1873	10535
151	1887	10529
152	1896	10499
153	1905	10469
154	1917	10453
155	1929	10437
156	1942	10430
157	1951	10399
158	1961	10376
159	1972	10354
160	1978	10312
161	1989	10290
162	2000	10273
163	2018	10291
164	2030	10274
165	2042	10259
166	2051	10234
167	2060	10203
168	2068	10171
169	2078	10146
170	2087	10118
171	2099	10109
172	2112	10096
173	2124	10083
174	2136	10072
175	2147	10052
176	2155	10021
177	2164	9996
178	2176	9981
179	2186	9959
180	2195	9936
181	2204	9909
182	2213	9882
183	2229	9885
184	2243	9885
185	2254	9864
186	2264	9843
187	2273	9820
188	2282	9794
189	2293	9775
190	2303	9756
191	2313	9734
192	2321	9708
193	2331	9688
194	2343	9673
195	2352	9650
196	2363	9634
197	2374	9618
198	2385	9601
199	2393	9574
200	2403	9555
201	2415	9541
202	2426	9528
203	2435	9504
204	2448	9496
205	2463	9495
206	2474	9478
207	2483	9455
208	2492	9433
209	2501	9410
210	2512	9395
211	2522	9375
212	2533	9360
213	2542	9337
214	2553	9322
215	2562	9302
216	2573	9285
217	2583	9268
218	2592	9244
219	2602	9227
220	2612	9210
221	2624	9198
222	2634	9180
223	2644	9161
224	2657	9154
225	2669	9141
226	2680	9128
227	2690	9109
228	2698	9086
229	2708	9069
230	2718	9049
231	2728	9032
232	2740	9022
233	2750	9004
234	2767	9007
235	2777	8991
236	2790	8984
237	2800	8967
238	2810	8949
239	2822	8936
240	2832	8919
241	2844	8910
242	2855	8894
243	2864	8875
244	2881	8880
245	2895	8875
246	2909	8870
247	2920	8854
248	2930	8838
249	2942	8827
250	2951	8808
251	2960	8788
252	2969	8768
253	2979	8750
254	2989	8732
255	3001	8724
256	3014	8715
257	3023	8695
258	3033	8677
259	3042	8659
260	3053	8645
261	3061	8624
262	3072	8611
263	3083	8597
264	3098	8592
265	3108	8578
266	3116	8556
267	3124	8534
268	3133	8514
269	3141	8494
270	3150	8475
271	3161	8461
272	3172	8449
273	3182	8432
274	3196	8425
275	3208	8417
276	3218	8400
277	3227	8381
278	3237	8366
279	3246	8348
280	3257	8334
281	3267	8319
282	3276	8300
283	3286	8286
284	3298	8274
285	3309	8263
286	3322	8253
287	3335	8245
288	3346	8232
289	3356	8218
290	3367	8205
291	3378	8190
292	3389	8178
293	3400	8165
294	3410	8151
295	3422	8139
296	3434	8130
297	3447	8121
298	3457	8105
299	3468	8093
300	3479	8079
301	3489	8064
302	3499	8050
303	3515	8048
304	3537	8060
305	3547	8045
306	3560	8036
307	3574	8030
308	3590	8030
309	3599	8012
310	3610	7998
311	3619	7980
312	3627	7961
313	3639	7951
314	3649	7935
315	3659	7920
316	3677	7923
